headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
オスプレイ墜落　乗員３人を引き揚げ　収容は計６人に　残る２人は行方不明（MBC南日本放送）,https://news.yahoo.co.jp/articles/3c6552b5e1955052327c6f5e1044e397bbe0db2c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068850-mbcnewsv-000-2-view.jpg?exp=10800,2023-12-06T20:49:00+09:00,2023-12-06T20:50:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,164,\n屋久島沖でアメリカ軍のオスプレイが墜落した事故に関して、アメリカ空軍はきょう６日、海中で見つかった５人の遺体のうち未収容だった３人を引き揚げたと発表しました。\n\nこれにより乗員８人のうち、６人が収容されたことになります。残り２人は行方不明のままで、アメリカ海軍は発見を目指すとしています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068850-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/3c6552b5e1955052327c6f5e1044e397bbe0db2c/images/000']
高齢化や後継者不在を解消へ…事業承継マッチング支援協定締結（MBC南日本放送）,https://news.yahoo.co.jp/articles/6ac963f8b179893a747211798ebf6f7075f8b80c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068839-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T16:43:00+09:00,2023-12-06T16:43:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,534,\nMBC南日本放送\n高齢化や後継者がいないなどの理由で起こる事業の廃業や休業が課題となっています。この課題の解決につなげようと、事業を譲り渡したい人と譲り受けたい人をつなぐマッチング支援の協定が締結されました。\n\n事業承継の支援に関する協定を締結したのは、飲食や美容など１１の事業者からなる県生活衛生同業組合連合協議会と日本政策金融公庫です。\n\n日本政策金融公庫は、全国１５２の支店のネットワークと支援サービスで、事業を譲り渡したい登録者と譲り受けたい人とをつなぐマッチングを無料で行います。\n\n鹿児島県生活衛生営業指導センターによりますと、組合に加入する事業者数は、２０２０年からの３年間で１３００以上減少し、廃業しています。\n\n今回の締結で、事業を渡す側は経営資源や技術などを次の世代へつなぎ、受け継ぐ側は創業や事業拡大のコストを抑えられるなど、双方にメリットがあると期待されています。\n\n（県飲食業生活衛生同業組合 肥田木康正理事長）「子どもが継ぐことでつないできたと思うが、家庭・生活環境などが変わる中で、なかなか後継者が見つからない。屋号や地域で必要とされている店が残ることにつながれば大変ありがたい」\nMBC南日本放送 | 鹿児島,[],[]
酒気帯び運転疑いで現行犯逮捕の会計年度任用職員を懲戒免職処分　さつま町（MBC南日本放送）,https://news.yahoo.co.jp/articles/e6df77275b56fbf544fbc771a5fc09a4acda1558,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068837-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T16:09:00+09:00,2023-12-06T16:09:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,358,\nMBC南日本放送\nさつま町は、酒気帯び運転と過失運転致傷の疑いで先月、現行犯逮捕された会計年度任用職員の６０代の男性を懲戒免職処分にしたと発表しました。\n\n町などによると、男性は１１月２日午後６時４０分ごろ、酒気を帯びた状態で自家用車を運転し、薩摩川内市西向田町の国道３号で、道路を横断していた小学生の女の子をはねたとして、酒気帯び運転と過失運転致傷の疑いで、薩摩川内警察署に現行犯逮捕されました。\n町は本人が事実を認め、弁解の余地がないことから、懲戒免職処分としました。\n\n上野俊市町長は「町民の信頼を著しく失墜させたことは、誠に遺憾。被害を受けられた方に深くお詫び申し上げる。今回の事件を重く受け止め、交通法令遵守の徹底や再発防止に取り組む」とコメントしています。\nMBC南日本放送 | 鹿児島,[],[]
乗務員教育の改善を指示　バス横転事故で国交省が運行会社を監査（MBC南日本放送）,https://news.yahoo.co.jp/articles/d62cdc05424f91f205ada9ca107f3559f483314a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068835-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T16:10:00+09:00,2023-12-06T16:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,509,\nMBC南日本放送\n鹿児島市で今年８月高校生ら３１人が乗った大型バスが横転した事故で、国土交通省は６日、バス運行会社に立ち入り監査し、業務の改善を指示しました。\n\nこの事故は、鹿児島市春山町の県道で今年８月、九州みやび観光の大型バスが横転したものです。\n\nバスには霧島市の国分高校サッカー部の生徒３０人が乗っていて、生徒１０人が搬送され、うち３人が腰の骨やろっ骨を折る大けがをしました。\n\n国交省・九州運輸局はきょう、九州みやび観光に立ち入り、事故当時の日報や健康診断の記録など運行管理に関する資料を監査しました。\n\n（国土交通省・九州運輸局 藤本晃英運輸企画専門官）「運行管理関連に一部不備があったので、事業者に対して是正するよう指示した」\n\n今回の監査では運行会社に対し、乗務員教育を改善するよう指示がありました。今後、改善結果を受けて国交省が処分を決めるということです。\n\n（九州みやび観光 本村雅樹社長）「乗務員教育も今まで以上にまた社員教育に対して徹底してやっていきたい」\n\nバスを運転していた６２歳の男性運転手は先月末付で依願退職しています。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島Ｄｉｇｉ－１グランプリ　県内初のＤＸコンテスト（MBC南日本放送）,https://news.yahoo.co.jp/articles/403057c3bd3f11a5431e71451eb6a2e297d80e8a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068838-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T16:08:00+09:00,2023-12-06T16:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,330,\nMBC南日本放送\nデジタル技術を活用して地域課題の解決や、暮らしの利便性向上に繋がるコンテストが開かれました。\n\n「鹿児島Ｄｉｇｉー１グランプリ」は、ＤＸ推進に向けた機運を高め、デジタル人材の育成を図る目的で開かれました。県が主催し、県内での初めてのＤＸコンテストです。\n\nこの日はデジタル技術を使い地域課題の解決に向けた４０の取り組みから、優秀な取り組みが表彰されました。また、会場にはドローンやＶＲなどの体験ブースもあり、訪れた人は楽しみながら最新技術に触れていました。\n\n（県総合政策部デジタル推進課 向原誠課長）「人手不足や働き方改革でデジタル化やＤＸが必要なところは多くある。どんどん広がっていけば」\nMBC南日本放送 | 鹿児島,[],[]
７日は「黄砂」飛来か　九州南部・奄美地方（MBC南日本放送）,https://news.yahoo.co.jp/articles/0a017c46d2ee75fbe2d1030cdc8f73934e7f393f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068833-mbcnewsv-000-1-view.jpg?exp=10800,2023-12-06T12:01:00+09:00,2023-12-06T12:01:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,154,\n気象台によりますと、九州南部と奄美地方では７日には黄砂が飛来し、広い範囲で視程が１０キロ未満となる見込みです。\n\n屋外では、所によっては黄砂が付着するなどの影響が出て、視程が５キロ未満となった場合は交通への障害が出るおそれがあるとして、気象台は注意を呼びかけています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068833-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/0a017c46d2ee75fbe2d1030cdc8f73934e7f393f/images/000']
鹿児島市清和の住宅火災　遺体は住人男性と判明（MBC南日本放送）,https://news.yahoo.co.jp/articles/50b4cc1d76c6c9c8da11bbe000b5980c078b2da1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068834-mbcnewsv-000-1-view.jpg?exp=10800,2023-12-06T12:28:00+09:00,2023-12-06T12:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,262,\n今月４日、鹿児島市清和３丁目で住宅１棟が全焼し、焼け跡から１人が遺体で見つかった火事で、遺体はこの家に住む３７歳の男性と判明しました。\n\n鹿児島南警察署によりますと、今月４日午前９時５０分ごろ、鹿児島市清和３丁目の無職・桐野秀信さん（７２）の住宅で火事があり、木造２階建て住宅１棟を全焼しました。\n\n焼け跡から１人が遺体で見つかりましたが、遺体は、この家に住む桐野恵吾さん（３７）と判明しました。遺体は２階部分で見つかり、死因は焼死でした。\n\n警察が火事の原因を調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068834-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/50b4cc1d76c6c9c8da11bbe000b5980c078b2da1/images/000']
「道の駅」近くの川に車が転落　男性を救助　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/50963a0f1d7f869e46f918f51d45d14200c58143,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068832-mbcnewsv-000-3-view.jpg?exp=10800,2023-12-06T11:57:00+09:00,2023-12-06T11:59:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,233,\n６日午前、鹿児島市喜入町の「道の駅喜入」近くの川に軽自動車が転落しました。\n\n警察によりますと、６日午前９時３０分ごろ、鹿児島市喜入町の「道の駅喜入」近くで、「車が川に転落した」と１１０番通報がありました。\n\n現場は「道の駅喜入」の駐車場から数メートル下の川で、車には７０歳代の男性が乗っていて警察と消防に救助されました。男性は病院に搬送されましたが、命に別条はないということです。\n\n警察が事故の原因を調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068832-mbcnewsv-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/50963a0f1d7f869e46f918f51d45d14200c58143/images/000']
オスプレイ墜落から１週間　米軍遺体収容に集中（MBC南日本放送）,https://news.yahoo.co.jp/articles/de17f98ac18c0d2a8563bec0641bcd933f81b0f8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068831-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-12-06T11:58:00+09:00,2023-12-06T11:58:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,438,\nMBC南日本放送\n屋久島沖にアメリカ軍のオスプレイが墜落して６日で１週間です。\nアメリカ側は乗組員８人の死亡を認定したと発表しまし。\n\n先月２９日に起きた墜落事故でアメリカ国防総省は乗員全員が死亡したと発表し、８人の名前を公表しました。\n\n８人はいずれもアメリカ空軍所属で、２０代から３０代。パイロットの将校や飛行外科医、飛行技師などです。そして、捜索活動から遺体の収容活動に移行したとしています。\n\n６日朝は、屋久島の安房港に、アメリカ軍関係者が集まり、チャーターした地元漁船とゴムボート３隻に、ボンベやブイなどを載せ、現場海域へ向かいました。そして海中から何かを引き上げる様子も見られました。\n\n乗組員８人のうち、これまでに１人が先月２９日に収容され、死亡が確認されたほか、５人の遺体が海中で見つかったと発表されています。\n\nアメリカ軍は今後、すべての遺体の収容とオスプレイの残がいの回収に集中するとしています。\nMBC南日本放送 | 鹿児島,[],[]
えびの高原・硫黄山の噴火警戒レベル１に引き下げ（MBC南日本放送）,https://news.yahoo.co.jp/articles/3064b059a2b87188c3974f8f1cc7da19ec63b83f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068829-mbcnewsv-000-1-view.jpg?exp=10800,2023-12-06T11:16:00+09:00,2023-12-06T11:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,264,\n気象台は、午前１１時に霧島山のえびの高原・硫黄山の噴火警戒レベルを２の火口周辺規制から１の活火山であることに留意に引き下げました。\n\n硫黄山周辺では山体の膨張とみられるわずかな伸びが先月から停滞していて、火山性微動も７月８日以降は発生しておらず、火山性地震も少ない状態で経過しています。\n\nこうしたことから火口周辺に影響を及ぼす噴火の可能性は低くなったとしています。ただ、活発な噴気活動が見られる火口内や噴気地帯周辺では、熱水などが飛散するおそれがあるとして、注意を呼びかけています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231206-00068829-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/3064b059a2b87188c3974f8f1cc7da19ec63b83f/images/000']
オスプレイ墜落事故８人の名前・所属を公開　全員20代～30代　アメリカ軍「生存の可能性が低い」と判断し捜索・回収活動へ　（MBC南日本放送）,https://news.yahoo.co.jp/articles/874c819726db7f64a3e4e716fee65f215e308c24,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2023-12-06T01:37:00+09:00,2023-12-06T01:42:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,959,\n鹿児島県の屋久島沖で１１月２９日に発生したCV-22オスプレイの墜落事故で、アメリカ空軍は乗組員８人全員の名前や所属を公開しました。\n\n乗組員８人のうち、これまでにジェイコブ・M・ガリハー 二等軍曹（２４）が、先月29日に収容され、死亡が確認されています。ほかに５人の遺体が海中で見つかり、このうち２人の遺体が収容されています。８人のうち遺体が見つかっているのは６人で、残る２人の捜索が続けられています。\n\n死亡が確認されているガリハー 二等軍曹以外の7人について、アメリカ軍は「死亡状態」とし、すべての遺族に通知したということです。\n\n乗組員の氏名は以下の通りで、いずれも所属はアメリカ空軍です。\n\nジェフリー・T・ホーネマン少佐（32歳、ミネソタ州出身）は、CV-22オスプレイの教官パイロット兼訓練担当将校で、横田基地にある第353特殊作戦航空団に配属されていました。\n\nエリック・V・スペンドローブ少佐（36歳、ユタ州出身）は、飛行外科医で、沖縄の嘉手納基地、第353特殊作戦航空団に配属されていました。\n\nルーク・A・アンラス少佐（34歳、カリフォルニア州出身）は、横田基地の第353特殊作戦航空団に配属されたCV-22オスプレイのパイロット兼飛行指揮官でした。\n\nテレル・K・ブレイマン少佐（32歳、ニューヨーク州出身）は、横田基地の第353特殊作戦航空団で、CV-22オスプレイのパイロット兼飛行指揮官でした\n\n技術士官 ザカリー・E・ラヴォイ軍曹（33歳、フロリダ州出身）は、第353特殊作戦航空団に配属された医療作戦飛行長でした。\n\n米空軍ジェイク・M・ターネージ二等軍曹（25歳、ジョージア州出身）は、横田基地にある第353特殊作戦航空団に配属された飛行技師でした。\n\n米空軍ブライアン・K・ジョンソン上級空兵（32歳、オハイオ州出身）は、横田基地、第353特殊作戦航空団に所属する飛行技師でした。\n\n\nアメリカ軍は、これまで続けていた捜索・救助活動から、「生存の可能性が低い」と判断された場合に行われる捜索・回収活動へと移行し、今後、すべての遺体とオスプレイの残がいを探し出し、回収することに集中するとしています。\nMBC南日本放送 | 鹿児島,[],[]
