headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body
オスプレイ墜落　目撃者たちの証言「ひっくり返ってエンジンから火が」「くるくる横回転したあと落ちた」（MBC南日本放送）,https://news.yahoo.co.jp/articles/d3cf582aa1a6912efd1202cbeee87c1a26d90d50,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00169091-mbcnewsv-000-3-thumb.jpg?exp=10800,2023-11-29T20:13:00+09:00,2023-11-29T20:15:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,361,\nMBC南日本放送\nオスプレイが墜落する様子を目撃した人の証言です。\n\n（目撃者）\nオスプレイが低空で飛行していたので、馬毛島の視察に来たのかなと思って見ていたら、普通の飛行機が着陸するコースと全く同じコースで降りてきたから、不時着するのかなと思ったら、降りてくる途中で１８０度ひっくり返った。\n左のエンジンが火を噴いて爆発して、プロペラがぼーんと沖の方に飛んでいった。その直後、墜落した。\n\n事故の瞬間を目撃した漁業者の声です。\n\n\n（漁業者）\n空港の方に向かっている様子だったので、漁をしながら見ていた。すると、くるくる横回転を３回くらいして、オレンジ色の火花、ボンって爆発みたいな感じ。ものの１０秒もしないくらいで、海面に落ちた。その後、黒煙を出して墜落した。\nMBC南日本放送 | 鹿児島
墜落したオスプレイとの関連は？　午後２時すぎ５０キロ北の南大隅町上空で目撃情報（MBC南日本放送）,https://news.yahoo.co.jp/articles/5ff0834b8196499b3b8d351dfcd9d6b5c51ef730,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068696-mbcnewsv-000-4-thumb.jpg?exp=10800,2023-11-29T18:28:00+09:00,2023-11-29T18:31:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,327,\nMBC南日本放送\n２９日午後２時ごろ、鹿児島県の南大隅町では飛行するオスプレイが目撃されていました。\n\nこちらは午後２時ごろ、現場から北におよそ５０キロ離れた南大隅町根占川北で撮影されたオスプレイです。\n\n撮影した男性によりますと、自宅にいたところ、大きな音がしたため空をみたところ、オスプレイが飛んでいたということです。オスプレイが向かっていたのは南の方向で、高い高度を飛んでいたということです。\n\n\n今回墜落したオスプレイかどうかは分かっていませんが、撮影した男性は「南大隅町でオスプレイが飛んでいるのは初めて見た。見た限り異常は感じなかったが、屋久島の方向に飛んで行ったので心配」と話しています。\nMBC南日本放送 | 鹿児島
オスプレイ墜落　発見の１名は意識・呼吸なし　「乗っていたのは６人」鹿児島・屋久島沖（MBC南日本放送）,https://news.yahoo.co.jp/articles/5ef47430e7d9ce9f632244ebadfb8bf2a77d189e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2023-11-29T17:30:00+09:00,2023-11-29T17:32:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,254,\n第十管区海上保安本部によりますと、午後４時４１分に屋久島町救難所の船が現場海域の安房港から北北東、およそ３キロの海上で１人を発見し、海保の機動救難士が船に救助しました。\n\n救助された1人は、意識・呼吸がないということです。心肺蘇生をしながら港に搬送しているほか、救命いかだのようなものも現場海域で見つかっているということです。\n\n\n墜落したアメリカ軍のオスプレイには当初８人が乗っていたとされていましたが、乗っていたのは６人だったと米軍が訂正したということです。\nMBC南日本放送 | 鹿児島
中継・屋久島オスプレイ墜落　今の状況は？「港で心臓マッサージする様子も」　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/3a9309ecca515e7beeb7fb6967cb83f5bf7f5461,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068699-mbcnewsv-000-2-thumb.jpg?exp=10800,2023-11-29T18:20:00+09:00,2023-11-29T18:21:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,298,\nMBC南日本放送\n屋久島の今の様子について、牛島記者がお伝えします。\n\n屋久島・安房港です。現在も漁港の岸壁では駆けつけた警察官らが作業を続けています。私が港に到着した午後５時半ごろは、救急車などが待機し、隊員らが活動する様子が見られました。\n\n地元の住民の話では、午後５時ごろ、救急隊員が代わる代わる心臓マッサージをする様子が見られ、周辺はものものしい雰囲気だったと話していました。\n\n先ほどは警察官などがブルーシートで警察車両を覆い、引き揚げたとみられるものを運び込む様子も確認できました。\n\n\n屋久島町役場では情報収集を続けています。\nMBC南日本放送 | 鹿児島
子どもゆめ基金から体験学習費用をだまし取った疑い　ＮＰＯ法人・元代表の男（５２）逮捕　鹿児島県警（MBC南日本放送）,https://news.yahoo.co.jp/articles/1967132859eec7b18f725405cf4ca7f5ff54fedd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068681-mbcnewsv-000-1-view.jpg?exp=10800,2023-11-29T16:00:00+09:00,2023-11-29T16:00:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,557,\n子どもの健全育成を手助けするとして東京の独立行政法人が運営する「子どもゆめ基金」に水増し請求をするなどして、およそ９５万円をだまし取ったとして、日置市のＮＰＯ法人の元代表の男が逮捕されました。\n\n詐欺の疑いで逮捕されたのは、ＮＰＯ法人いちごいち笑の元代表理事で、日置市伊集院町徳重の無職・浅山圭史容疑者（５２）です。\n\n日置警察署などによりますと、浅山容疑者は２０１９年９月中旬からおよそ４か月の間に、独立行政法人・国立青少年教育振興機関が管理する「子どもゆめ基金」から、あわせておよそ９４万７０００円をだまし取った疑いがもたれています。\n\n浅山容疑者は、子どもの体験学習などの費用の名目で、水増し請求をしたり架空計上したりして、複数回にわたって金をだまし取っていたということです。\n\n独立行政法人が県警に相談をして発覚したもので、警察が関係書類を確認するなどして、２９日、浅山容疑者を逮捕しました。浅山容疑者の認否について、警察は「捜査に支障がある」として明らかにしていません。\n\n内閣府のホームページによりますと、浅山容疑者のＮＰＯ法人は２００６年に設立され、子どもの体験活動や福祉タクシーなどの活動を行っていましたが、２０２１年３月に解散していました。\nMBC南日本放送 | 鹿児島
屋久島沖「オスプレイが墜落」　県が情報収集中（MBC南日本放送）,https://news.yahoo.co.jp/articles/609309d2f92ff686e2855c8e54afbd4ed818136b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068682-mbcnewsv-000-2-thumb.jpg?exp=10800,2023-11-29T16:04:00+09:00,2023-11-29T16:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,263,\nMBC南日本放送\nきょう２９日午後、アメリカ軍のオスプレイが屋久島沖に墜落しました。８人が乗っているということです。\n\n第十管区海上保安本部や県によりますと、きょう２９日午後２時４０分ごろ、屋久島空港近くの海岸に米軍所属のオスプレイが左エンジンから火を吹いて墜落したということです。\nオスプレイには８人が乗っていたということです。\n\n十管では巡視船や航空機を現場に向かわせています。\n\n県警から県の危機管理課に連絡があったということで、県は、現在情報収集体制をとっています。\nMBC南日本放送 | 鹿児島
鹿児島湾で地震　鹿児島市で最大震度１　推定Ｍ２．３　津波の心配なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/88987462bf982119d6fd51af82f17364a048ecf7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00258283-mbcnewsv-000-2-view.jpg?exp=10800,2023-11-29T16:59:00+09:00,2023-11-29T17:00:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,154,\n２９日午後４時５６分ごろ、最大震度１の地震がありました。\n震源は鹿児島湾で震源の深さは10キロメートル。\n地震の規模を示すマグニチュードは２．３と推定されています。\nこの地震による津波の心配はありません。\n\n各地の震度は、\n震度１が鹿児島市\nとなっています。\nMBC南日本放送 | 鹿児島
オスプレイ墜落１人発見の情報　目撃した人たちの証言「左エンジンが爆発し、プロペラが沖に飛んで行った」「くるくる横回転したあと爆発」米軍所属で乗組員６人　　（MBC南日本放送）,https://news.yahoo.co.jp/articles/407cbbfed65fcd7171a6109a3f53f772a0ba12cd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068683-mbcnewsv-000-10-view.jpg?exp=10800,2023-11-29T16:24:00+09:00,2023-11-29T16:44:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,958,\n２９日午後２時半すぎ、アメリカ軍のオスプレイが屋久島沖に墜落しました。通報した男性は「大きいドンという音がした」とはなしています。\n\n第十管区海上保安本部によりますと、２９日午後２時４７分ごろ、「所属不明のオスプレイが屋久島沖で墜落した」と１１８番通報がありました。オスプレイは米軍所属横田基地所属のCV-22で、８人が乗っていたとされていましたが、その後６人だったと訂正されました。\n\n十管所属の航空機が現場の海上で機体の残骸のようなものや、転覆した救命いかだのようなものを確認したということです。\n\nまた、現場を捜索している屋久島町救難所の船が「１人を発見した」との連絡を受けたということです。\n\n墜落の様子を目撃していた屋久島町小瀬田の男性は「オスプレイが左エンジンから火をふいていた。ドンという大きい音がして旋回しながら墜落するのが見えた。乗組員は脱出して海上にいたところを３隻の船が救助するところを見た。オレンジ色の救難ボートも見えた」と話しています。\n\n近くの海岸で釣りをしていたという別の男性は「オスプレイが低空で飛行していたので、馬毛島の視察に来たのかと思ってみていたら、ぐーっと回って、普通の飛行機が着陸するのと同じコースで下りてきたから、不時着するのかなと思ったら、下りて来る途中で１８０度ひっくり返った。左のエンジンから火を噴いて、爆発して、プロペラが沖のほうに飛んで行った。その直後墜落した」と話しています。\n\n海で漁船に乗っていて、事故の瞬間を目撃した女性は、\n「空港のほうに向かっているようだったので、漁をしながら見ていた。そしたらくるくる横回転を３回ぐらいして、ボーンと爆発し、ものの１０秒ぐらいで海面に落ちて、黒煙を出して墜落した」と話しています。\n\n\nこれまでに島の東側にある安房港の北北東３キロの海上で、迷彩服を着た男性１人が発見されましたが、死亡が確認されました。十管によりますと死亡したのは白人男性で、身元は分かっていません。\n\n機体の残骸のようなものや無人の救命いかだのようなものも発見されまています。\n\nオスプレイは山口県の岩国基地を出発して、沖縄県の嘉手納基地に向かう途中だったということです。\nMBC南日本放送 | 鹿児島
【速報】屋久島沖「オスプレイが墜落した」１１８番通報　アメリカ軍所属８人搭乗　県が情報収集中（MBC南日本放送）,https://news.yahoo.co.jp/articles/cef8c2b6a092c236acff18e293712ec30d2be333,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068680-mbcnewsv-000-7-view.jpg?exp=10800,2023-11-29T15:33:00+09:00,2023-11-29T15:39:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,184,\n県や十管によりますと、きょう２９日午後２時47分ごろ「オスプレイが左エンジンから火を吹いて墜落した」と付近の住民から１１８番通報がありました。\n\n十管によりますと、当該オスプレイは米軍所属で、乗組員は8人と判明しているということです。\n\n十管では巡視船や航空機を現場に向かわせています。県は、現在情報収集体制をとっています。\nMBC南日本放送 | 鹿児島
知人のＩＤ・パスワードでＳＮＳなど不正アクセスした疑い　埼玉の会社員の男（２４）逮捕　鹿児島県警（MBC南日本放送）,https://news.yahoo.co.jp/articles/28b2fafb2afd4da0509afbf91c1834df2f793dea,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068679-mbcnewsv-000-3-view.jpg?exp=10800,2023-11-29T14:41:00+09:00,2023-11-29T14:43:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,428,\n知人のＩＤやパスワードを使ってＳＮＳやネットゲームに不正アクセスした疑いで、埼玉県の２４歳の会社員の男が逮捕されました。\n\n不正アクセス禁止法違反の疑いで逮捕されたのは、埼玉県富士見市に住む会社員の男（２４）です。\n\n鹿児島西警察署によりますと、男は今年５月、鹿児島県内に住む知人のＩＤとパスワードを使って、ＳＮＳやネットゲームに不正にアクセスした疑いがもたれています。\n被害にあった知人から警察に「ゲームの設定が変更され不正アクセスされたかもしれない」と相談があり発覚しました。\n\n男は、知人がＳＮＳで他人とやり取りしているメッセージを見たり、ネットゲームで設定を変更するなどしていたということです。\n\n警察の調べに対し男は、「困らせるためにやった」という趣旨の話をする一方で、「ＳＮＳとネットゲームにアクセスしたのは間違いないが、本人から承諾はもらっていた」と容疑を一部否認しているということです。\nMBC南日本放送 | 鹿児島
塩田知事　２期目出馬の意向固める（MBC南日本放送）,https://news.yahoo.co.jp/articles/7f98247ddd2f35e77e9d33ad254e1398d30c7737,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231129-00068678-mbcnewsv-000-2-thumb.jpg?exp=10800,2023-11-29T12:01:00+09:00,2023-11-29T12:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,318,\nMBC南日本放送\n塩田康一知事が来年夏の知事選挙に２期目を目指して立候補する意向を固めたことが分かりました。\n\n関係者によりますと、塩田知事は支援者に対し、再出馬の意向を伝えたということです。\n\nあさって１日に行われる１２月県議会の代表質問で正式に出馬を表明し、自民党に推薦願を出すものとみられています。\n\n塩田知事は経済産業省出身の５８歳で、２０２０年の知事選に無所属で立候補し、現職の三反園訓さんや元職の伊藤祐一郎さんら、県政史上最多となる７人の戦いを制して初当選しました。\n\n塩田知事の任期は来年７月２７日まで。知事選を巡り、出馬の意向が明らかになるのは塩田知事が初めてです。\nMBC南日本放送 | 鹿児島
