headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
市長こだわってきた「本港区」でのサッカースタジアム整備に否定的な見方「時間的な課題がある」（MBC南日本放送）,https://news.yahoo.co.jp/articles/e6cc3bcd368a2c9c1b2bae113eecd6dd576a8b34,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070139-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T19:33:00+09:00,2024-02-28T19:33:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,582,\nMBC南日本放送\nサッカースタジアムの新たな候補地を検討している鹿児島市の下鶴市長は、これまでに白紙となった４つの候補地がある本港区について、「時間的な課題がある」として整備に否定的な見方を示しました。\n\n鹿児島市はサッカースタジアムの整備で「中心市街地の活性化」を目指していて、これまで中心市街地に近い海沿いの地域「本港区」での整備を模索してきました。\n\nしかし当初検討していた「ドルフィンポート跡地」「浜町バス車庫」「住吉町１５番街区」の３か所は、すべて白紙になり、去年６月、新たに「北ふ頭」を表明したものの、鹿児島ユナイテッドＦＣが今シーズンＪ２に昇格する中、早期整備のためには港湾計画の変更に時間がかかるとして、今月、断念を表明しました。\n\n下鶴市長は２８日の市議会で、これまでこだわってきた本港区で、引き続き新たな候補地を探す可能性について問われると…。\n\n（鹿児島市 下鶴隆央市長）「本港区のスタジアム整備は、港湾計画の見直しが必要であり、時間軸の面で課題がある」\n\nこれまでに白紙となった４つの候補地がある「本港区」での整備については「港湾計画の見直しに時間がかかる」との理由で、否定的な見方を示しました。\n\n鹿児島市は引き続き中心市街地の活性化につながる場所での整備を模索する方針です。\nMBC南日本放送 | 鹿児島,[],[]
ＩＯＴデザインガールｉｎ鹿児島　女性×ネット技術　地域課題解決する企画発表（MBC南日本放送）,https://news.yahoo.co.jp/articles/b47cdfd7c535cdf09c8b3c5cb9baee2ca25103ca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070130-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T16:42:00+09:00,2024-02-28T16:42:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,566,\nMBC南日本放送\nインターネットを活用して地域課題を解決しようというプロジェクトに取り組む女性たちの企画発表会が、鹿児島市で開かれました。\n\n「ＩＯＴ（アイ・オー・ティー）デザインガール」は、インターネット技術を活用して、女性が新たな発想で「鹿児島の今と未来」を企画するプロジェクトで、今回で５回目です。\n\n県内の企業や行政、ＭＢＣなどで構成するＩＯＴデザイン鹿児島が開いていて、観光や教育、働き方など様々なテーマの問題解決を目指します。\n去年１０月からグループで話し合いを重ね、企画発表会には４チーム２１人が参加しました。\n\n（プレゼンの様子）「鹿児島県の教育を進化させるために制度を抜本的に変革する所からスタートします。先生が教える授業から子どもが学びを作る授業へ、鹿児島県も大胆な教育改革をしましょう」\n\n審査の結果、最高賞の県知事賞には、鹿児島の旅行サイトを提案した「チームえっがね」が選ばれました。\n\n（チームえっがね 玉置葵衣さん）「みんなでがんばったからこそ得られたので、すごくうれしい。地元の人や県外から来る方々も一緒になって旅行を楽しもうということを一番伝えたかった」\n\nＩＯＴデザインガール事務局は、今後もこの取り組みを続けていきたいとしています。\nMBC南日本放送 | 鹿児島,[],[]
南国交通　鹿児島市内の路線バス３月の平日減便へ想定上回る欠員で通常運行困難（MBC南日本放送）,https://news.yahoo.co.jp/articles/4aaa11c0d4689a466cc0d299645297a3da7a03ed,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070127-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T16:15:00+09:00,2024-02-28T16:15:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,440,\nMBC南日本放送\n南国交通は、運転手不足の影響で、来月４日からおよそ１か月間、鹿児島市内の路線バスを減便することになりました。\n\n南国交通が減便するのは鹿児島市内のすべての一般路線バスです。祝日を除く平日を土曜ダイヤで運行し、朝と夕方には臨時便を運行します。１日７８便が減便になります。期間は、来月４日から２９日までです。\n\n減便の理由について南国交通は、慢性的な運転手不足に加え、運転手の退職などで想定を上回る欠員が出たためとしています。\n減便に利用者は・・・。\n\n（利用者）\n「今でも一時間に２本ぐらいしかないので、困る」\n\n「学校の時は平日は毎日で、遊びも行くから週６とか（で利用）」「理解できるけど困る。早起きしないと」\n\n南国交通は、４月以降は通常ダイヤに戻したいとしていて、運転手の採用に力を入れるなど、対策を講じるということです。減便となる３月のダイヤは、南国交通のホームページや各停留所で確認できます。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島銀行　５年ぶりに頭取交代へ　郡山副頭取が頭取へ（MBC南日本放送）,https://news.yahoo.co.jp/articles/39ecb1576f97911302d881166296948d6ab11e9b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070131-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T16:18:00+09:00,2024-02-28T16:18:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,344,\nMBC南日本放送\n鹿児島銀行の頭取が５年ぶりに交代し、新しい頭取に郡山明久副頭取が就任することになりました。\n\n鹿児島銀行は２８日記者会見を開き、松山澄寛代表取締役頭取が退任し、新しい頭取に郡山明久代表取締役副頭取が就任すると発表しました。\n\n郡山副頭取は現在６６歳。１９８０年に鹿児島銀行に入行、これまで隼人支店長や人事部長、代表取締役専務などを歴任し、２０１９年から代表取締役副頭取を務めています。\n\n（郡山明久・取締役副頭取）「地域が縮小していく中でも元気であり続けるための、金融からの支援をできる存在でありたい」\n\n一方、松山頭取は、２０１９年６月から頭取を務めています。松山頭取は、相談役となります。異動は４月１日付けです。\nMBC南日本放送 | 鹿児島,[],[]
ガストロノミーツアーで南薩の食文化を体験　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/1bf3f61783bebdd6b85971d0b4a3a7459fd2f5bc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070129-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-02-28T16:11:00+09:00,2024-02-28T16:13:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,456,\nMBC南日本放送\n南薩の食文化を体験し、地元の食材を使った料理とカクテルを楽しむツアーがありました。\n\n「ファイヤー＆スモークガストロノミーツアー」は、インバウンド回復につなげる取り組みの一環として枕崎市にある薩摩酒造「明治蔵」が主催しました。ツアーはお茶や鰹節・焼酎蔵など南薩ならではの産地を巡り、食材を活かした食事とカクテルを堪能します。この日は外国人を含むおよそ２０人が参加しました。\n\n明治蔵では世界的バーテンダーの南雲主于三さんが３種類の焼酎とお茶や鰹節、フルーツを使ったオリジナルのカクテルで出迎えました。ディナーではミシュラン２つ星を獲得し注目を集めるフレンチシェフ、川手寛康さんの料理がテーブルを彩りました。\n\n（ツアー参加者）「今までにない味の組み合わせで感動してます。地産地消へのこだわりが良い」\n\n（薩摩酒造・取締役マーケティング本部長 本坊直也さん）「魅力のたくさんある町なので、より多くの方に広げていくきっかけになったらいいと思う」\nMBC南日本放送 | 鹿児島,[],[]
３トントラックとコンテナの間に挟まれ男性死亡　沖永良部島・和泊町　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/2e54fa108433806e1e20d4d4362a570c60eeac3c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070128-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T16:13:00+09:00,2024-02-28T16:13:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,373,\nMBC南日本放送\n沖永良部島の和泊町で２８日朝、男性がトラックとコンテナの間に挟まれ、死亡しました。\n\n沖永良部警察署によりますと、２８日朝、午前７時４５分頃、和泊町大字和の建設会社の資材置き場で、この会社の従業員菅村公一さん（５６）が、３トントラックの後部と建築資材などを入れるコンテナの間に挟まった状態で見つかりました。\n\n菅村さんは病院に搬送されましたが、およそ１時間後に死亡が確認されました。\n\n菅村さんは２８日朝、会社に隣接する資材置き場にトラックを取りに行きましたが戻って来なかったため、同僚が見に行ったところ、トラックとコンテナの間に挟まれていたということです。トラックはエンジンがかかっておらず、人も乗っていなかったということです。\n\n警察が事故と事件の両面で捜査しています。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島銀行　松山頭取が退任　５年ぶりに頭取交代へ（MBC南日本放送）,https://news.yahoo.co.jp/articles/2d5c5de48e4b1f7fd26f7eec554da7140c7593ff,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070124-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-02-28T11:56:00+09:00,2024-02-28T11:56:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,195,\nMBC南日本放送\n鹿児島銀行の頭取が５年ぶりに交代することが分かりました。\n\n鹿児島銀行は、松山澄寛代表取締役頭取が退任する人事を２８日午後、発表する予定です。松山頭取は、２０１９年６月から頭取を務めてきました。\n\n鹿児島銀行は２８日午後、役員人事に関する記者会見を開く予定です。新しい頭取には、郡山明久代表取締役副頭取が就任するとみられます。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島銀行　新頭取に郡山副頭取が昇格　松山頭取は相談役　副頭取は碇山専務（MBC南日本放送）,https://news.yahoo.co.jp/articles/7e11a0bec870787ac014a42d8f7857937cd47f16,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070126-mbcnewsv-000-1-view.jpg?exp=10800,2024-02-28T14:42:00+09:00,2024-02-28T14:42:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,171,\n鹿児島銀行の頭取が５年ぶりに交代し、新しい頭取に郡山明久副頭取が就任します。\n\n鹿児島銀行は、松山澄寛代表取締役頭取が退任し、新しい頭取に郡山明久代表取締役副頭取が就任すると発表しました。\n代表取締役副頭取には、碇山浩美専務が昇格します。松山頭取は、相談役となります。\n\n異動は４月１日付けです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070126-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/7e11a0bec870787ac014a42d8f7857937cd47f16/images/000']
火事相次ぐ　合わせて２人死亡　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/a2fa25caf69dc661d4263b88d3320fffd6356b48,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070125-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-02-28T12:00:00+09:00,2024-02-28T12:01:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,468,\nMBC南日本放送\n鹿児島県内では火事が相次ぎ、合わせて２人が死亡しました。\n\n出水警察署によりますと、２８日午前５時すぎ、出水市上大川内で「家が燃えている」と近くに住む人から１１９番通報がありました。\n\nこの火事で団体職員・軸丸正男さん（５３）と５１歳の弟が住む木造平屋の住宅１棟のほか、小屋と倉庫あわせて３棟が全焼しました。\n\n住宅の焼け跡から１人が遺体で見つかっていて、軸丸さんの弟と連絡がとれていないということです。\n\nまた鹿児島南警察署によりますと、鹿児島市平川町で、２８日午前１時半すぎ、「家が燃えている」と近くの人から１１９番通報がありました。\n\nこの火事で無職・松元弘志さん（８５）の木造平屋の住宅１棟と隣の敷地の倉庫１棟が全焼しました。住宅からは１人が遺体で見つかりました。\n\n松元さんは８０代の妻と２人暮らしで、現在、松元さんと連絡が取れなくなっています。出火当時妻は家にいませんでいた。\n\nいずれの火事も警察が、遺体の身元と火事の原因を調べています。\nMBC南日本放送 | 鹿児島,[],[]
住宅など３棟全焼　１人が遺体で見つかる　５１歳男性と連絡取れず　鹿児島・出水市（MBC南日本放送）,https://news.yahoo.co.jp/articles/503a659dcedf602d27f43c8079a36c7500084ee2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070122-mbcnewsv-000-4-view.jpg?exp=10800,2024-02-28T09:04:00+09:00,2024-02-28T09:07:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,317,\n鹿児島県出水市で２８日朝、住宅など３棟が全焼し、焼け跡から１人が遺体で見つかりました。\n\n出水警察署によりますと、２８日午前５時すぎ出水市上大川内で「外からぱちぱちと音が出ていて、家が燃えている」と近くに住む人から１１９番通報がありました。\n\n火はおよそ３時間後に消し止められましたが、団体職員・軸丸正男さん（５３）と５１歳の弟が住む木造平屋の住宅１棟のほか、小屋と倉庫あわせて３棟が全焼しました。\n\n住宅の焼け跡から１人が遺体で見つかっていて、軸丸さんの弟と連絡がとれていないということです。軸丸さんは仕事に出かけていて無事でした。\n\n警察が遺体の身元と火事の原因を調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070122-mbcnewsv-000-4-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/503a659dcedf602d27f43c8079a36c7500084ee2/images/000']
鹿児島市平川町で住宅と倉庫全焼　１人遺体で見つかる　住人の８０代男性と連絡取れず（MBC南日本放送）,https://news.yahoo.co.jp/articles/64490117a525d7ed83bf62652377167e160453b7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070123-mbcnewsv-000-2-view.jpg?exp=10800,2024-02-28T10:44:00+09:00,2024-02-28T10:45:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,332,\n鹿児島市で２８日未明火事があり、住宅と倉庫が全焼し、焼け跡から１人が遺体で見つかりました。\n\n鹿児島南警察署によりますと２８日午前１時半すぎ、鹿児島市平川町の住民から「家が燃えている」と１１９番通報がありました。\n\n火はおよそ２時間後に消し止められましたが、この火事で、無職・松元弘志さん（８５）が住む木造平屋の住宅１棟が全焼し、焼け跡から１人が遺体で見つかりました。また、隣の敷地にある木造倉庫１棟も全焼しました。\n\n松元さんはこの家に８０代の妻と２人暮らしで、現在、松元さんと連絡が取れなくなっています。出火当時、妻は家にいませんでいた。\n\n警察で遺体の身元の特定を進めるとともに、火事の原因を調べています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00070123-mbcnewsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/64490117a525d7ed83bf62652377167e160453b7/images/000']
