headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
一足早い春　奄美でヒカンザクラ開花　指宿では早咲きの桜も　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/00cb1b2593b74f29918d4a685fa430108f34c0d9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069443-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-01-17T19:23:00+09:00,2024-01-17T19:25:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,341,\nMBC南日本放送\n一足早い春の便りが届き始めています。奄美市の名瀬測候所では１７日午前、ヒカンザクラが５～６輪咲いているのが確認され、開花が発表されました。\n平年より３日、去年よりも３日早い発表です。\n\n一方、指宿市山川にあるフラワーパークかごしまでは、早咲きのサクラ「イズノオドリコ」が６０本植えられていて、先週から開花が始まっています。\nまた、濃いピンク色で下向きに花が咲くのが特徴の「カンヒザクラ」も咲いていて、８分咲きの木もありました。\n\n青空のもとで、訪れた人たちが花々を眺めたり写真を撮ったりしていました。\n\n県本土は１７日までは穏やかに晴れて“お花見日和”となりましたが、１８日からは天気が下り坂となる見込みです。\nMBC南日本放送 | 鹿児島,[],[]
“海の貴婦人”海王丸が１年ぶりに鹿児島に寄港　船員目指す６５人が訓練航海（MBC南日本放送）,https://news.yahoo.co.jp/articles/e58035245b7bd38c49737c0cff83499b461184da,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069436-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-01-17T19:04:00+09:00,2024-01-17T19:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,428,\nMBC南日本放送\n“海の貴婦人”とも呼ばれる帆船の「海王丸」が１年ぶりに鹿児島港に寄港しました。\n\n海王丸は、全長１１０メートル、総トン数２５５６トン、マストの高さはデッキからおよそ５０メートルと、世界最大級の帆船でその白く、美しい姿から“海の貴婦人”と呼ばれています。\n\n船員を目指す学生が技能などを習得するための練習船として使われていて、今回は、東京海洋大学・神戸大学・海技大学校の６５人が乗り込み、訓練航海を行っています。\n鹿児島港への寄港は１年ぶりで今月２２日まで停泊します。\n\n（東京海洋大学４年 森山湧介さん・甲南高校出身）「船で鹿児島に来られて、鹿児島出身としてもすごくうれしい気持ち。船の仲間に鹿児島の魅力を案内しようと思う」\n\n（大野龍治次席三等航海士）「マストに登る訓練をするが、その際に寒すぎると体を崩すおそれもある、鹿児島の温暖な気候は登しょう訓練に適した気候だと感じている」\nMBC南日本放送 | 鹿児島,[],[]
西原商会が能登半島地震復興のため義援金寄付（MBC南日本放送）,https://news.yahoo.co.jp/articles/afda2088fd018fdf6cf17f8259957ac95e58f1f5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069435-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-17T17:37:00+09:00,2024-01-17T17:37:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,316,\nMBC南日本放送\n鹿児島市に本社を置く西原商会グループが、能登半島地震の被災地への義援金を県に寄付しました。\n\n業務用食品の卸売などを行う西原商会グループが、能登半島地震で被災した人たちを支援するため１０００万円の目録を県に渡しました。\n義援金は、県を通して被災地に送られます。\n\n（西原商会 西原一将社長）\n「少しでも（被災地の）みなさんが暖かく、通常の生活に戻るにはまだかかると思うが、心の支えになる形で使って頂ければありがたい」\n\n全国に営業所のある西原商会グループでは、被災地にある営業所にも取引先などから支援物資が集まっていて、随時、避難所に届けているということです。\nMBC南日本放送 | 鹿児島,[],[]
ＪＲ指宿枕崎線　特急列車が人と衝突　鹿児島中央～指宿で運転見合わせ　付近で交通渋滞も発生（MBC南日本放送）,https://news.yahoo.co.jp/articles/2e55ec4fd89e5d9f2c1daca8678e4e1f90ccb3a7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069433-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-17T16:09:00+09:00,2024-01-17T16:09:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,333,\nMBC南日本放送\n鹿児島市のＪＲ宇宿駅で１７日午後、指宿枕崎線の特急列車が人をはね、現在、上下線とも運転を見合わせています。\n\n警察やＪＲ九州によりますと、１７日午後２時ごろ、鹿児島中央駅を出発した指宿枕崎線の特急列車・「指宿のたまて箱５号」が、宇宿駅を通過中に線路で人をはねました。\nはねられた人の容体はわかっていません。\n\n列車には乗客・乗員あわせて２９人が乗っていましたがけがはありませんでした。\n\nこの影響で、指宿枕崎線は鹿児島中央と指宿の間で上下線とも運転を見合わせています。\n\nまた、宇宿駅周辺の踏切で遮断機が降りたままになり、一時、渋滞が発生しました。\n\n警察がはねられた原因を調べています。\nMBC南日本放送 | 鹿児島,[],[]
ＪＲ指宿枕崎線　運転再開（MBC南日本放送）,https://news.yahoo.co.jp/articles/2fb672695fc2b3421c17d10c4dede6075627c348,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069434-mbcnewsv-000-1-view.jpg?exp=10800,2024-01-17T16:36:00+09:00,2024-01-17T16:36:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,98,\n鹿児島市のＪＲ宇宿駅で起きた人身事故の影響で、一時、運転を見合わせていた指宿枕崎線は午後４時すぎに運転を再開しました。\n\n上下線とも列車に遅れが出ています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069434-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/2fb672695fc2b3421c17d10c4dede6075627c348/images/000']
屋久島一周マラソン　ウルトラエコマラニック２０２４（MBC南日本放送）,https://news.yahoo.co.jp/articles/5fd975a1fc1f41afa37acde6434beb3d5ff6766c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069431-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-17T16:14:00+09:00,2024-01-17T16:14:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,456,\nMBC南日本放送\n屋久島で、島の周囲１００キロを楽しみながら走るイベントがありました。\n\n「屋久島一周ウルトラエコマラニック」は今年で７回目の開催です。\nマラニックとはマラソンとピクニックの造語でタイムを競うのではなく、島の景色などを楽しんで走るマラソンです。\n\n屋久島世界自然遺産登録３０周年記念大会の今年は、島を一周する１００キロの部のほかに５０キロ、２５キロの部に、あわせておよそ２８０人がエントリーしました。\n\n午前５時、島の北側の宮之浦を出発し、反時計回りに島を走ります。参加者たちは世界遺産エリアの西部林道などを駆け抜けました。途中設けられた給水ポイントでは、地元ボランティアの炊き出しで、温かい食事を楽しみました。\n\n（口永良部島から参加）\n「楽しかった。いい思い出になった」\n\n（北海道から参加）\n「サルとかシカとか見ました。たくさん自然を満喫しました。北海道は熊がいて一人では走れない」\n\n屋久島を感じるイベントとなりました。\nMBC南日本放送 | 鹿児島,[],[]
九州の地銀が半導体分野で連携協定　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/60f005ba7df55059097a3abe070dab4b66a0ae55,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069432-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-01-17T16:07:00+09:00,2024-01-17T16:07:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,342,\nMBC南日本放送\n「新生シリコンアイランド九州」の実現に向けて九州・沖縄の地方銀行が異例の連携です。\n\n東京に集まったのは九州・沖縄の１１の地方銀行。その目的はＴＳＭＣの熊本進出に伴い九州で相次ぐ大規模な半導体設備投資に対応し「新生シリコンアイランド九州」の実現を、資金面で後押しするものです。\n\nＴＳＭＣ進出による経済波及効果は１０年間でおよそ２０兆円と試算されていてその効果を最大化するため１１行が連携協定を結びました。\n\n協定では１１行のネットワークを活用し、地場企業への商談会の開催やマッチング事業などを検討しているということです。\n\nライバルの金融機関が連携協定を結ぶのは異例で、鹿児島からは鹿児島銀行が参加しています。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島県ドッジボール協会が創立３０周年　記念式典開かれる（MBC南日本放送）,https://news.yahoo.co.jp/articles/3264375635d041782ee9c9b4cce4f6ba0891b966,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069430-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-01-17T16:05:00+09:00,2024-01-17T16:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,426,\nMBC南日本放送\n鹿児島県ドッジボール協会の創立３０周年を祝う記念式典がこのほど開かれました。\n\n鹿児島県ドッジボール協会はドッジボールの普及を目的に、１９９２年に設立されました。\n\nドッジボールはチームワークを育む競技として小学校などの教育現場にも取り入れられ、２００５年には全国最多の２２３チームが結成されました。\n\n現在は小学生からシニアまでおよそ５０チームが活動しています。式典には各チームの代表者などおよそ５０人が参加し、長年に渡りドッジボールの普及に貢献した個人や団体に感謝状が贈られました。\n\n（３０年以上普及に貢献 音野知子・前副会長）\n「ドッジボールはボールをつないでいく。取ったボールは必ず投げて誰かにつないでいく精神がある。子どもたちのため、自分たちのために、これからもドッジボールを愛していただきたい」\n\n参加者はドッジボールの普及にむけて気持ちを新たにしていました。\nMBC南日本放送 | 鹿児島,[],[]
クイーンコーラルクロスに鹿児島運輸支局が立ち入り監査　事故当時の対応を確認（MBC南日本放送）,https://news.yahoo.co.jp/articles/926a2927e3bcd407a9b7f38b0da9901afc72e248,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069426-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-01-17T12:01:00+09:00,2024-01-17T12:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,442,\nMBC南日本放送\n奄美・沖縄航路のフェリー・クイーンコーラルクロスが、沖永良部島の港に衝突した事故を受けて、国の鹿児島運輸支局が１７日、立ち入り監査を行っています。\n\nこの事故は、クイーンコーラルクロスが今月８日に沖永良部島の和泊港に入港しようとした際に、停船できずに港に衝突したもので、乗客・乗員合わせて２８８人にけがはありませんでした。\n\n運航するマリックスラインによりますと、減速するためプロペラを逆回転させた際に、エンジンが止まったことが原因だったということです。\n\n監査担当の職員は衝突した船首の状態を確認した後、船長などに事故当時の状況を聞き、客の誘導や通報など対応に問題がなかったか確認しています。\n\n（鹿児島運輸支局 石村良仁首席運輸企画専門官）\n「違反するようなことや不手際などあれば再発防止のため勧告をする」\n\nクイーンコーラルクロスは１８日午後６時の鹿児島発の下り便から運航を再開することにしています。\nMBC南日本放送 | 鹿児島,[],[]
鹿児島県内の本格焼酎の出来栄えは？　鑑評会始まる（MBC南日本放送）,https://news.yahoo.co.jp/articles/589290f3d21868b73289eeec4340c7b810d1d4b3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069427-mbcnewsv-000-3-thumb.jpg?exp=10800,2024-01-17T12:00:00+09:00,2024-01-17T12:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,444,\nMBC南日本放送\n去年、鹿児島県内で造られた本格焼酎の出来栄えを審査する鑑評会が１７日から始まりました。\n\n県酒造組合では新酒が出そろうこの時期に県内で造られたサツマイモ、黒糖、米、麦の本格焼酎の鑑評会を開いています。\n\n審査は熊本国税局と県工業技術センター、鹿児島大学の８人が行い、初日の１７日は、県内８２の蔵元で作られた芋焼酎１６２点が並びました。\n審査員はコップに注がれた焼酎を手に取り、香りや口当たりなどをひとつずつ確認しながら審査しました。\n\n（審査長熊本国税局鑑定官室 本村創室長）\n「いいものの中からよりすばらしいものを見つけるのがすごく難しい審査になった」\n\n県酒造組合によりますと、県内の本格芋焼酎の生産量はサツマイモ基腐病の影響が少なかったことなどから、去年６月までの１年間で１０万９６２９キロリットルで前の年より２．７％増えました。\n\n１８日は、黒糖、米、麦焼酎を審査し、表彰式は来月１３日に行われます。\nMBC南日本放送 | 鹿児島,[],[]
ＪＲ指宿枕崎線　鹿児島中央～指宿で運転見合わせ　人身事故のため（MBC南日本放送）,https://news.yahoo.co.jp/articles/24198414020fd1aa1fbaa770b6303af1d020ff11,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069429-mbcnewsv-000-1-view.jpg?exp=10800,2024-01-17T14:28:00+09:00,2024-01-17T14:28:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,136,\nＪＲ九州によりますと、きょう１７日午後２時ごろ、鹿児島中央駅を出発した指宿枕崎線の特急電車・指宿の「たまて箱５号」が、宇宿駅を通過中に人と衝突しました。\nこの影響で、指宿枕崎線は鹿児島中央と指宿の間で上下線とも運転を見合わせています。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069429-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/24198414020fd1aa1fbaa770b6303af1d020ff11/images/000']
東九州道（国分―末吉財部　上り）交通事故による通行止め解除　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/da44c4717f09c5743442f4365e85a3f4893c04a6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069428-mbcnewsv-000-1-view.jpg?exp=10800,2024-01-17T14:00:00+09:00,2024-01-17T14:00:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,103,\nネクスコ西日本によりますと、東九州道の国分ー末吉財部の上り線は、事故に伴う緊急工事のため午前１０時過ぎから通行止めが続いていましたが、午後１時４０分過ぎに解除されました。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069428-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/da44c4717f09c5743442f4365e85a3f4893c04a6/images/000']
東九州道（国分―末吉財部　上り）が通行止め　交通事故による緊急工事のため　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/584f475ea8c37cd800d22f9b2e9cc9e21869e6ba,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069425-mbcnewsv-000-1-view.jpg?exp=10800,2024-01-17T11:10:00+09:00,2024-01-17T11:10:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,113,\nネクスコ西日本と警察によりますと、東九州道の国分－末吉財部の上り線が交通事故に伴う緊急工事のため、１７日午前１０時１０分から通行止めとなっています。復旧の見込みはたっていないということです。\nMBC南日本放送 | 鹿児島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240117-00069425-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/584f475ea8c37cd800d22f9b2e9cc9e21869e6ba/images/000']
