headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body
知人が泊まる宿泊施設の部屋に侵入　現金約４０万円盗んだ疑い　建設作業員の男（２５）逮捕　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/1520e3d7e3638665f843eaa8ce44bfb12b32f46b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068655-mbcnewsv-000-4-view.jpg?exp=10800,2023-11-27T22:12:00+09:00,2023-11-27T22:15:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,284,\n今年４月、大島郡内の宿泊施設の客室に侵入して現金およそ４０万円を盗んだ疑いで２５歳の男が逮捕されました。\n\n住居侵入と窃盗の疑いで逮捕されたのは、三重県四日市市の建設作業員の男（２５）です。\n\n沖永良部警察署によりますと、男は今年４月６日午前７時ごろから午後１時４５分ごろまでの間、大島郡内にある宿泊施設に侵入し、大島郡内の３０代の男性会社員が宿泊していた部屋から現金およそ４０万円を盗んだ疑いが持たれています。\n\n２人は知人同士で、取り調べに対し、男は「盗んだことに間違いありません」と容疑を認めているということです。\nMBC南日本放送 | 鹿児島
琥珀色で甘い香り　小学生が黒砂糖づくり　５トンのサトウキビから２００キロ（MBC南日本放送）,https://news.yahoo.co.jp/articles/9c7678c6583f08cdf0247fa8f7137149c8c790e1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068642-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T19:08:00+09:00,2023-11-27T19:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,508,\nMBC南日本放送\n鹿児島県出水市の小学生が２７日、自分たちで育てたサトウキビを使って黒砂糖づくりを体験しました。\n\n黒砂糖づくりをしたのは、出水市高尾野町の下水流小学校の４年生３４人です。\n２７日は阿久根市の製糖工場で、地域のボランティアグループ・ルピナス倶楽部の人たちと一緒に、自分たちで育てたサトウキビを砂糖に加工しました。\n\nまず、２メートルほどのサトウキビを機械に入れ、キビ汁を搾り取ります。そして、搾りだした汁を１２０度で１時間煮詰めると、甘い香りをたてながら琥珀色になりました。子どもたちは焦げないようにスコップで混ぜていました。\n\n２７日は、５トンのサトウキビから搾りとった１トンの汁から、２００キロの黒砂糖が出来るということで、最後に子どもたちがその味を確かめていました。\n\n（児童）「甘くてすごくおいしい」「頑張って育てたかいがあった」\n\n（ルピナス倶楽部 福留昌三会長）「子どもたちに自分の地元で採れた本当の自然食品を、自分たちで体験して食べてもらいたい」\n\n出来上がった黒砂糖は、交流のある福島県の小学校に贈られるということです。\nMBC南日本放送 | 鹿児島
「光触媒」の発見で８年連続ノーベル賞候補　藤嶋昭さんが生徒らに講演　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/e915628ddbaf9a81b9ff3e009ec7923bb6359518,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068640-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T16:05:00+09:00,2023-11-27T16:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,432,\nMBC南日本放送\n光触媒の発見で今年のノーベル化学賞候補にあがった藤嶋昭さんが鹿児島市で講演しました。\n\n（東京理科大学 藤嶋昭栄誉教授）「大腸菌をはじめとするいろいろな菌を培養しておいて、光を当てたら簡単に殺すことができる」\n\n鹿児島市の池田学園で講演したのは東京理科大学栄誉教授の藤嶋昭さんです。\n\n「光触媒」は、光のエネルギーで化学反応を促進させる物質で、有害物質の分解で抗菌や空気浄化作用などが期待されています。\n藤嶋さんは１９６７年にこの反応を発見し、８年連続でノーベル化学賞の候補にあがっています。\n\n講演では、ニュートンやガリレオなど科学者の功績を紹介し、「エネルギー資源のない日本は科学技術立国しかない。科学に興味をもってほしい」としました。\n\n（生徒）\n「将来科学者になる夢に進んでいきたいので、いろんな研究をしていきたい」\n「世界に役立つ研究をしたり、もっと科学について知りたい」\nMBC南日本放送 | 鹿児島
川内原発隣接の迂回道路が完成・新たな県道として交換　テロ対策や避難経路確保がねらい（MBC南日本放送）,https://news.yahoo.co.jp/articles/0e8b12387682e31004d618b05af141523845a7e4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068639-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T16:09:00+09:00,2023-11-27T16:09:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,467,\nMBC南日本放送\n原発事故の際などの避難経路を確保するため、川内原発の近くを通っていた県道の一部区間を、いまより離れたルートにする迂回道路が完成し、使用が始まりました。\n\n薩摩川内市で行われた道路の安全祈願祭には九州電力や市、県や地域住民ら２３人が出席しました。\n\n２６日使用が始まった迂回道路は、４０億円をかけ九電が作ったものです。これまで川内原発の正門前は県道４３号が通っていましたが、その一部の区間を全長３．１キロ、片側１車線の新たな道路と交換します。\n\n原発の施設からの距離がこれまで通っていた県道に比べ倍以上離れることになり、テロ対策の強化や、原子力災害が発生した際に、住民が川内原発からより離れたルートで避難できるようになります。\n\n（川内原子力総合事務所 川江隆文所長）\n「今までは発電所の近傍を通る形、それを迂回するということで、しっかりした道路ができた」\n\n交換で県道４３号の一部の道路は多くが九州電力の所有となり、原発に近い区間の立ち入りが規制されます。\nMBC南日本放送 | 鹿児島
出水市で回収されたコガモに鳥インフル疑い　遺伝子検査で確定すれば鹿児島県内で今季８例目に（MBC南日本放送）,https://news.yahoo.co.jp/articles/ecfe9864d3dbc443a710bb0058d243397c6364a3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2023-11-27T18:52:00+09:00,2023-11-27T18:52:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,167,\n鹿児島県は、出水市で今月２４日に衰弱した野鳥のコガモを回収して簡易検査をしたところ、鳥インフルエンザの陽性となったと発表しました。\n\n県は遺伝子検査を行って詳しく調べていますが、県内では今シーズン野鳥のねぐらの水から３例、野鳥から４例の合わせて７例が確認されていて、確定すれば８例目になります。\nMBC南日本放送 | 鹿児島
犯罪被害者週間始まる　鹿児島中央駅前で啓発　あす２８日支援フォーラム（MBC南日本放送）,https://news.yahoo.co.jp/articles/ef695b3ef8dbb3bb99f36d2b17d361478641810c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068638-mbcnewsv-000-5-thumb.jpg?exp=10800,2023-11-27T16:07:00+09:00,2023-11-27T16:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,498,\nMBC南日本放送\n来月１日までの「犯罪被害者週間」に合わせ、鹿児島市で啓発活動がありました。\n\n犯罪被害者週間は、犯罪や事故の被害にあって苦しんでいる人や家族らへの支援について理解を深めてもらおうと国が定めたものです。\n\n鹿児島中央駅前では、かごしま犯罪被害者支援センターと県警、ボランティア団体などが啓発や募金活動をしました。\n\n被害者支援センターによりますと今年度の相談件数は先月末までで、のべ７２９件で、前の年の同じ時期と比べて１３５件増えました。性被害が１４２件増えていて、去年に比べて、子どもの被害が目立っているということです。\n\n（かごしま犯罪被害者支援センター 永家南州男事務局長）\n「安心して相談できるスタッフがそろっているので、何も心配せずに安心して相談してほしい」\n\nあす２８日午後１時半から鹿児島市の県民交流センターで犯罪被害者支援フォーラムが行われ、事件で娘を亡くした被害者の講演会も開かれます。\n\n相談は電話０９９－２２６－８３４１で受け付けています。\n火曜日～土曜日（祝日を除く） 午前１０時～午後４時\nMBC南日本放送 | 鹿児島
ＪＡＸＡ観測ロケットＳ－５３０－３３号機１２月１日に打ち上げへ　鹿児島内之浦から　当初１１月２４日が延期に（MBC南日本放送）,https://news.yahoo.co.jp/articles/041eae269613da6d95dd4dc9fd53e47fff40ced5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068641-mbcnewsv-000-1-view.jpg?exp=10800,2023-11-27T15:56:00+09:00,2023-11-27T15:56:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,272,\n今月２４日の打ち上げが延期されていた観測ロケットについて、ＪＡＸＡは１２月１日に打ち上げると発表しました。\n\nＪＡＸＡ＝宇宙航空研究開発機構の観測ロケットＳ－５３０－３３号機は、次世代ロケットや探査機開発に役立てるため、大気圏突入などの実証実験の装置４つを搭載します。\n\nＪＡＸＡは、延期していたこの観測ロケットの打ち上げを１２月１日午後４時に鹿児島県肝付町の内之浦宇宙空間観測所で行うと発表しました。\n\n打ち上げは、当初今月２４日の予定でしたが、「準備が間に合わない」として延期されていました。\nMBC南日本放送 | 鹿児島
４０００個の光　県庁ロビーに高さ５メートルのイルミネーションツリー（MBC南日本放送）,https://news.yahoo.co.jp/articles/7ab899d354f56e0035b2e2944269324643acbf36,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068637-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T11:58:00+09:00,2023-11-27T11:58:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,378,\nMBC南日本放送\n鹿児島県庁に２７日から、イルミネーションツリーが設置されました。\n\n県庁１階に設置されたのは、高さおよそ５メートルのイルミネーションツリー。県庁では１９９７年から毎年この時期にツリーを設置しています。\n\n今年は、赤や青など６色のＬＥＤライトおよそ４０００個が輝き、県のマスコットキャラクターぐりぶーファミリーが、サンタクロース姿で彩りを添えています。\n\nまた、エイズの正しい知識を普及啓発するレッドリボン月間に合わせて、ツリーには赤いリボンが飾られています。\n\n（訪れた人）\n「きれい、すてき」\n「いろいろな色が発色しているところがきれい」\n\nツリーの点灯時間は、月曜日から金曜日が午前９時から午後９時、土曜日曜、祝日は午前１０時から午後９時までで、来月２５日まで飾られます。\nMBC南日本放送 | 鹿児島
奄美大島・瀬戸内町に自衛隊港湾施設整備へボーリング調査開始　部隊・物資補給拠点に　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/c976874b71d0aff27b15a803db0a942e25409f11,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068636-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-27T11:59:00+09:00,2023-11-27T11:59:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,346,\nMBC南日本放送\n奄美大島・瀬戸内町への自衛隊の港湾施設の整備に向けて、防衛省が２７日からボーリング調査を始めたことが分かりました。\n\n防衛省は、瀬戸内町・古仁屋港の須手地区周辺に、物資補給や部隊輸送の拠点となる自衛隊の港湾施設をつくる計画です。\n\n具体的な整備計画を立てるために海底の地盤などを調べるボーリング調査について、港を管理する県は「船の航行などに影響はないと判断した」として今月１７日に許可し、防衛省は２７日調査を始めました。\n県が許可した調査期間は来年１月末までです。\n\n防衛省は、ボーリング調査などに今年度６億円を計上していて、港湾施設に燃料タンクや倉庫の整備なども検討していますが、施設の完成時期は明らかになっていません。\nMBC南日本放送 | 鹿児島
トカラ列島近海で地震 鹿児島十島村で最大震度１ 推定M2.2 津波の心配なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/052bf7cd1940d86680d01ae37d67898b082be0f1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00236674-mbcnewsv-000-3-view.jpg?exp=10800,2023-11-27T10:11:00+09:00,2023-11-27T10:13:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,134,\n午前10時08分ごろ最大震度１の地震がありました。\n震源はトカラ列島近海で地震の規模を示すマグニチュードは2.2と推定されています。\nこの地震による津波の心配はありません。\nこの地震で、十島村の中之島で震度１を観測しています。\nMBC南日本放送 | 鹿児島
車同士が衝突、横転する事故　霧島市の会社員の男を酒気帯び運転の疑いで現行犯逮捕（MBC南日本放送）,https://news.yahoo.co.jp/articles/874618b753b6a81def73af02d679744f2dcb10b8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231127-00068635-mbcnewsv-000-2-view.jpg?exp=10800,2023-11-27T11:28:00+09:00,2023-11-27T11:29:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,313,\n鹿児島市の国道で、酒を飲んで車を運転した疑いで、霧島市の会社員の男（２２）が現行犯逮捕されました。\n\n現行犯逮捕されたのは、霧島市隼人町に住む、会社員の男（２２）です。鹿児島中央警察署によりますと、男は２７日午前５時５０分ごろ、鹿児島市吉野町の国道１０号で普通乗用車を運転中、対向してきた軽自動車と衝突しました。\n\n軽自動車の運転手が警察に通報し、男からは基準値を超えるアルコールが検出されたということです。\n\nこの事故で、軽自動車は横転し運転手は病院に搬送されました。命に別状はないということです。\n\n警察の調べに対し、男は「酒は飲んでいない」と話しているということです。\nMBC南日本放送 | 鹿児島
