headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body
アメリカ軍輸送機　屋久島空港に到着　ボンベやゴムボートも（MBC南日本放送）,https://news.yahoo.co.jp/articles/363971cb7cbfdbe03c81ff597bd38b5945c64cb9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068722-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T19:16:00+09:00,2023-11-30T19:16:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,233,\nMBC南日本放送\n３０日午前１１時ごろ、屋久島空港にはアメリカ軍の輸送機１機が到着しました。\n輸送機の後ろのハッチからは、アメリカ軍関係者十数人がたくさんのボンベを下ろし運んでいました。\n\n輸送機から下ろした車両の荷台には、エンジンを装備した折り畳んだゴムボートが確認できます。ウェットスーツを身に着けた関係者もいました。\n\nアメリカ軍がオスプレイが墜落した周辺の海域に潜って捜索活動を行う準備をしているとみられます。\nMBC南日本放送 | 鹿児島
津波防災特集・川を遡上する津波への備え（MBC南日本放送）,https://news.yahoo.co.jp/articles/f61b33d03d802a3c9f1e3d887560a5b0eb5e14d4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068717-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T19:02:00+09:00,2023-11-30T19:02:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,2191,\nMBC南日本放送\n５日の津波防災の日を踏まえ、今月は南海トラフ地震による大津波を想定した訓練が各地で行われました。\n\nしかし、１２年前の東日本大震災で川を数キロさかのぼり被害を拡大させた津波への意識や備えは必ずしも高くありません。３０日は専門家も課題と指摘する、川を遡上する津波に焦点を当てます。\n\n（鹿児島大学（地震地質学）井村隆介准教授）\n「城山のふもと新上橋のあたりまでは低い津波でも入っていく可能性はある。堤防で守られている地域というふうに思われているところでも水に浸かってしまう可能性はある」\n\n県内でもっとも南海トラフに近い志布志湾。海から５００メートルの全校児童６１人・大崎町の大丸小学校です。\n\nこの日、南海トラフ地震を想定した訓練がありました。\n\n１年生の教室では地震発生の放送を受けて子どもたちが机の下に身を隠し、揺れが収まった合図とともに、１．５キロ離れた標高２３メートルの高台に走ります。\n\n避難は１３分で完了しました。\n\n子どもたちは・・・\n「地震とか津波はこわいと改めてすごく思った」\n「南海トラフとか怖いけれど、いつか来るのは確実。自分の体の訓練とかもしたい」\n\n大丸小学校の避難には課題もあります。ルートの途中にある、学校より標高が低く、浸水リスクが増す塩入（しおいり）川と田んぼです。\n\n遠い南海トラフで起きる地震では津波が襲うまで４９分あるとみられていますが、より震源が近い場合、学校は高台避難を断念し、標高１９メートルの屋上に上がる計画です。\n\n（大丸小学校 秦一成校長）\n「時間がないようなときには、屋上に上がってくるように思っている。子どもたちは日本の未来。大川小学校の方々の状況を話して何かがあっても自分が命をつないでいくということを子どもたちには分かってもらいたい」\n\n秦校長の念頭にある、１２年前の東日本大震災で、学校管理下最悪の被害となった宮城県の大川小学校です。東北最大の１級河川・北上川の河口から４キロ遡上した１０メートルもの津波が小学校を飲み込みました。\n\n小学校があった釜谷（かまや）地区には当時、住民らもあわせ、およそ３００人がいましたがそのうちの９割、子どもたち７４人も含む２６９人が犠牲になりました。\n\n川が持つ、地震・津波を始め、高潮などのリスク。今月は志布志湾にそそぐ肝属川を始め全国各地の１級河川で地震訓練がありました。\n\n中でも国内最大のリスクが想定される地域が。\n関東大震災からことし１００年を迎え、首都直下地震に備える東京。周辺に軟弱地盤を抱える荒川放水路です。\n\n関東大震災の翌年に水が通され、来年１００年の節目を迎えます。一帯は、大量の地下水のくみ上げで土地の高さが海よりも低い・海抜ゼロメートル地帯が広がり、浸水リスクがある１１６平方キロに１７６万人が暮らしています。\n東京都は地震による津波の高さを最大２．６メートルと想定し、防潮堤などで守れるとしますが、ひとたび浸水すれば、被害は甚大です。\n\n（荒川下流河川事務所・渡辺健一副所長）\n「ゼロメートル地帯を流れる河川は、日頃から排水をして海面より、水を低くしなければいけない。東京都の排水機場がずっと稼働している。万が一大きな地震があって稼働できなくなった場合には大変な被害が起きる。排水ポンプ車をもっていって手伝うなど検討は進めている」\n\n国の荒川下流河川事務所では現在、堤防の強靭化や、鉄道橋を架け替え、周辺より低くなっている堤防をかさ上げし、浸水リスクを減らす取り組みなどを進めています。\n\n（荒川下流河川事務所・渡辺健一副所長）\n「人口も膨大だが、何かあれば日本全体が被害を受けるという形になる。（都や区などと）連携協力しながら一歩一歩やっていくことが重要」\n\n一方の鹿児島市。川の津波リスクは、８・６豪雨から３０年を迎えた６０万都市の心臓部を流れる甲突川でもひとごとではありません。専門家は河口から４キロの城山ちかくまで浸水のリスクはあると見ます。\n\n（鹿児島大学（地震地質学）井村隆介准教授）\n「海の水をこの狭い川に閉じ込めようとすると当然（幅が）足りなくなる。そうすると（津波の高さが）５メートルだったものが川に入ると１０メートルということになる。新上橋のあたりまでは満潮になると水が停滞するぐらいの量がある。そこに津波がやってきたら、さらに２メートル３メートル、（津波が）入ってくるということ」\n\nこれは、桜島・大正噴火の際の地震で、現在の鹿児島アリーナ近くの甲突川の堤防に亀裂が入ったようすです。\nもしもこのとき津波が起きていれば・・・さらに近くの山で土砂崩れも重なれば・・・井村准教授は過去の災害に目を向け、自分が住む場所のリスクに思いを巡らすことが重要と訴えます。\n\n（鹿児島大学（地震地質学）井村隆介准教授）\n「軒並み地震の揺れによって崩れている可能性もある。後ろは崖があって土砂崩れの心配がある。前は川があって洪水の心配がある。津波の心配があるというような土地が鹿児島。そういうことが起こったことが大川小学校から学ばなければいけないこと。考えてもらえるきっかけになるといい」\nMBC南日本放送 | 鹿児島
天城町役場の展示スペースから“脱走”ハブ　不明の１１匹「すべて捕獲」　今後は網など対策　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/4652f1421b2c742bca6bbd3b8a1b1b83a979f7cc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068724-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T18:58:00+09:00,2023-11-30T18:58:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,301,\nMBC南日本放送\n天城町役場からハブ１１匹が逃げ出した問題で、町は２９日までに「すべて捕獲した」としています。\n\n天城町では今月２４日、役場の敷地内にあるハブの展示スペースの裏の保管庫から１６匹のうち１１匹がいなくなり、捜索していましたが、２９日までに「１１匹すべてを捕獲した」ということです。\n\nいずれも役場周辺で見つかりましたが、逃げ出したハブと断定できないため、夜間の捜索は１２月２日まで続ける方針です。\n\n排水パイプのバルブの閉め忘れが原因とみられていて、町は今後、バルブをしめる作業を２人で行うようにするなど、対策を強化することにしています。\nMBC南日本放送 | 鹿児島
インフルエンザ拡大　鹿児島県内全域に流行発生警報　２週間で感染者数が２倍に　（MBC南日本放送）,https://news.yahoo.co.jp/articles/5021afe5eed618638200a8b13926f35712ec576e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068716-mbcnewsv-000-2-thumb.jpg?exp=10800,2023-11-30T16:28:00+09:00,2023-11-30T16:29:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,304,\nMBC南日本放送\nインフルエンザの流行発生警報が県内全域に発表されました。\n\n鹿児島県によりますと、今月２６日までの１週間に県内８９の医療機関から寄せられたインフルエンザの報告は３０４７人で、２週間前のおよそ２倍に増えました。\n１医療機関あたりでは３４．２４人で、警報基準値の３０人を超えたことから、県は、県内全域に流行発生警報を出しました。\n\n保健所別では、川薩（６２．４３人）、出水（５６．６０人）、姶良（５３．００人）、鹿屋（４４．７５人）、鹿児島市（３９．６８人）の５か所で、警報レベルとなっています。\n\n県は、感染症対策の徹底を呼びかけています。\nMBC南日本放送 | 鹿児島
屋久島沖オスプレイ墜落で捜索続く　防衛政務官が屋久島町長らと面会「深くお詫び」（MBC南日本放送）,https://news.yahoo.co.jp/articles/8be810bcf895c4a8ee5e43f8f40b4f8fd20ab14a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068712-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T16:06:00+09:00,2023-11-30T16:06:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,677,\nMBC南日本放送\n屋久島沖で２９日、８人が乗ったアメリカ軍のオスプレイが墜落し、一夜明けたきょうも乗組員の捜索が続けられています。\n午後は、松本防衛大臣政務官が屋久島町を訪れました。\n\n第十管区海上保安本部などによりますと、屋久島沖で２９日午後３時前に８人が乗ったアメリカ軍横田基地所属のオスプレイが墜落し、一夜明けたきょうも自衛隊や海保などによる捜索が続けられています。\n\n現場海域では機体の残骸のようなものや無人の救命いかだのようなものが見つかり、２９日、乗組員の男性１人が救助されましたが、死亡が確認されました。\n\n（救助に向かった漁師）「水柱が高く上がって、黒煙が上がった。油が浮いてすごいにおい。うつぶせにライフジャケットを着て浮いていた」\n\n屋久島空港ではきょう３０日、アメリカ軍の輸送機１機が到着し、たくさんのボンベを下ろす様子が見られました。\n\n輸送機から下ろした車両の荷台には、エンジンを装備した折り畳んだゴムボートが確認でき、ウェットスーツを身に着けた関係者もいました。オスプレイが墜落した周辺の海域に潜って捜索活動を行う準備をしているとみられます。\n\n十管によりますと、行方不明者に関する新たな手がかりはないということです。\n\nそして、午後、松本防衛大臣政務官が屋久島町を訪れ、荒木町長と面会しました。\n\n（松本尚 防衛大臣政務官）「心配、不安をおかけしていることを、改めて深くお詫びしたい」\n\n松本政務官は夕方、県庁を訪れ、塩田知事とも面会する予定です。\nMBC南日本放送 | 鹿児島
いちき串木野市の美術作家と染色工房がコラボ展示「空間を染色する」鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/a97960fc99b5036f8dcd3d9cfe625a1317420985,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068714-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T16:05:00+09:00,2023-11-30T16:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,365,\nMBC南日本放送\nいちき串木野市で、地元在住の美術作家と染織工房によるコラボイベントが開かれています。\n\n和の空間に配置されたレース編みの糸を使った作品。作ったのは美術作家・平川渚さん(４４)です。\n\n明治２年＝１８６９年創業で五月のぼりや大漁旗などを制作している亀崎染工とコラボした展示イベント「空間を染色する」を開いています。\n\n平川さんは６年前に夫の出身地・いちき串木野市に移り住み、子育てをしながら作品を作り、県内外で活躍していますが、地元での作品展示は初めてです。会場では、コラボ作品として５色に染められたタペストリーも展示されています。\n\n「空間を染色する」は、来月３日・日曜日までいちき串木野市旭町の亀染屋で開かれています。\n\n※亀崎さんの「崎」は、たつさき\nMBC南日本放送 | 鹿児島
鹿児島県立農業大学校「農大祭」１２月２日開催へ　４年ぶり通常開催（MBC南日本放送）,https://news.yahoo.co.jp/articles/fa5489e66998be03ba501e9b99ad996340f5646f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068713-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T16:05:00+09:00,2023-11-30T16:05:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,207,\nMBC南日本放送\n日置市の県立農業大学校で来月２日開かれる農大祭のＰＲ隊がＭＢＣを訪れました。\n\n「農大祭」は、県立農業大学校で育てられた農畜産物などを市価より安い値段で販売するイベントです。今年は４年ぶりに通常規模で開催され、スタンプラリーや抽選会なども行われます。\n\n「農大祭」は１２月２日土曜日の午前９時から午後２時まで日置市吹上町の県立農業大学校で開かれます。\nMBC南日本放送 | 鹿児島
オートバイが県道わきの電柱に衝突　男性（６６）が死亡　鹿児島県阿久根市（MBC南日本放送）,https://news.yahoo.co.jp/articles/43faefc489f9dd8c636d993e18e57a7f4bf91b70,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068715-mbcnewsv-000-2-view.jpg?exp=10800,2023-11-30T15:54:00+09:00,2023-11-30T18:56:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,232,\n阿久根市で３０日午後、オートバイが道路わきの電柱に衝突し、乗っていた６６歳の男性が死亡しました。\n\n阿久根警察署によりますと、３０日午後１時２０分ごろ、阿久根市赤瀬川の県道を走っていたオートバイが道路左わきの電柱に衝突しました。\n\nこの事故でオートバイを運転していた阿久根市脇本の大漉昭人さん（６６）が病院に搬送されましたがおよそ４時間後に死亡しました。\n現場は見通しのよい直線道路で、警察が事故の原因を調べています。\nMBC南日本放送 | 鹿児島
「焼酎神社」に侵入し放火した疑い　さい銭泥棒で逮捕・起訴の都城市の男（３６）を再逮捕（MBC南日本放送）,https://news.yahoo.co.jp/articles/fb0e9a6ee4ca34fe1ee3e3c824814e4833b4e3cf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068710-mbcnewsv-000-3-view.jpg?exp=10800,2023-11-30T12:32:00+09:00,2023-11-30T12:34:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,522,\n「焼酎神社」として知られる伊佐市の郡山八幡神社で、去年１１月、社務所１棟が全焼した火事で、警察は、宮崎県都城市に住む、アルバイト従業員の男を逮捕しました。\n\n放火と建造物侵入の疑いで逮捕されたのは、宮崎県都城市のアルバイト従業員、川添友和容疑者（３６）です。\n\n伊佐湧水警察署によりますと、川添容疑者は去年１１月２３日午前５時ごろから午前５時３０分ごろまでの間、伊佐市の郡山八幡神社の社務所に侵入して放火し、全焼させた疑いが持たれています。\n\n警察は「捜査に支障がある」として認否を明らかにしていません。\n\n川添容疑者は、去年１１月２２日から２３日にかけて、郡山八幡神社に侵入し、さい銭箱から現金を盗んだとして、建造物侵入と窃盗の罪で逮捕・起訴されています。\n\n郡山八幡神社は国の重要文化財に指定されています。本殿からは室町時代の１５５９年に当時の大工が書いたとみられる「焼酎」の文字の落書きが見つかっていて、日本最古の焼酎の記録とされることから、「焼酎神社」とも呼ばれています。\n\n火事による延焼は本殿にはなく、「焼酎」と書かれた木片は本殿に保管されていて、被害はありませんでした。\nMBC南日本放送 | 鹿児島
海上はしけ　離島航路に欠航も　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/b59fdedb98550b7271eb59f5c0e9d54798aab006,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068711-mbcnewsv-000-1-view.jpg?exp=10800,2023-11-30T13:51:00+09:00,2023-11-30T13:51:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,119,\n海上しけのため、海の便に乱れが出ています。\n\n３０日の欠航が決まっているのは、甑島航路の高速船甑島の午後の便、種子島・屋久島航路のフェリー屋久島２、山川・根占航路のフェリーなんきゅうの午後の便です。\nMBC南日本放送 | 鹿児島
政治資金収支報告書公表　去年は収入・支出が過去１０年で２番目の少なさ　市町村長選少なかったのが影響か　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/407abc9de2be4b869a803eb2e6acdb2e459987d7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068708-mbcnewsv-000-1-thumb.jpg?exp=10800,2023-11-30T12:01:00+09:00,2023-11-30T12:01:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,391,\nMBC南日本放送\n鹿児島県内の政党の支部や政治団体の去年１年間の収入や支出を記した政治資金収支報告書が、３０日公表されました。\n\n公表された報告書によりますと、県内１６１の政党支部や８０４の政治団体の去年１年間の収入の総額は１２億３１４８万円で、前の年を４．９％下回りました。\n\nまた、支出の総額は１２億２２４１万円で、前の年を５．５％下回りました。収入・支出ともに過去１０年間で２番目に少なく、県選挙管理委員会は「去年は参院選があったものの、市町村長の選挙が少なかったため」とみています。\n\n県内の政党支部の収入は、最多が自民党の１億８５６万円、次いで共産党の８６３４万円などとなっています。\n\n政党支部以外で収入が多かったのは、県看護連盟の２２１４万円、県薬剤師連盟の２０５２万円、みたぞのさとし後援会の１８９３万円でした。\nMBC南日本放送 | 鹿児島
ＪＲ日豊本線　車輪空転で　特急２本が運休　普通列車に遅れ　約１００人に影響（MBC南日本放送）,https://news.yahoo.co.jp/articles/f40ccf19644c5f439066394397e9faaea1f0d595,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068709-mbcnewsv-000-1-view.jpg?exp=10800,2023-11-30T12:15:00+09:00,2023-11-30T12:15:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,148,\nＪＲ九州によりますと、３０日午前８時半ごろからＪＲ日豊本線の北俣駅と大隅大川原駅の間で特急列車の車輪が断続的に空転し、ダイヤに乱れが出ています。\n\nこの影響で、特急列車２本が運休したほか、普通列車１本に遅れが出るなどして、およそ１００人に影響が出ています。\nMBC南日本放送 | 鹿児島
屋久島沖でオスプレイ墜落　死亡した１人は乗組員　残る７人の捜索続く（MBC南日本放送）,https://news.yahoo.co.jp/articles/6e5173c7bd1d03a48983881d5e551ce1ebda56b9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068706-mbcnewsv-000-2-thumb.jpg?exp=10800,2023-11-30T12:02:00+09:00,2023-11-30T12:03:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,453,\nMBC南日本放送\n屋久島沖で２９日、８人が乗ったアメリカ軍のオスプレイが墜落し、一夜明けたきょうも乗組員の捜索が続けられています。\n２９日に、救助され死亡が確認された１人は乗組員だったことが分かりました。\n\n自衛隊や海保が２９日から終夜態勢で捜索を続けています。第十管区海上保安本部によりますと２９日午後３時前、８人が乗ったアメリカ軍の横田基地所属のオスプレイが、屋久島沖で墜落しました。\n\n地元漁協には３人が救助されたとの情報もありましたが、十管によりますと、２９日救助されたのは男性１人のみでその後、死亡が確認されました。防衛省によりますと死亡が確認されたのは、乗組員と判明しました。\n\n（救助に向かった漁師）「水柱が高く上がって、黒煙が上がった。油が浮いてすごいにおい。うつぶせにライフジャケットを着て浮いていた」\n\n地元漁協も加わって残る乗組員７人の捜索が行われています。午後からは松本防衛大臣政務官が屋久島町と県庁を訪れ説明を行う予定です。\nMBC南日本放送 | 鹿児島
海上はしけ　高速船甑島の午後の便は欠航（MBC南日本放送）,https://news.yahoo.co.jp/articles/fb44912abd897e112a5dec0b1be93c94b319c3d0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068705-mbcnewsv-000-1-view.jpg?exp=10800,2023-11-30T11:23:00+09:00,2023-11-30T11:23:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,85,\n甑島商船によりますと、しけのため、高速船甑島の午後の便は欠航が決まっています。\n\nフェリーニューこしきは全便通常通り運航予定です。\nMBC南日本放送 | 鹿児島
【速報】屋久島沖でオスプレイ墜落　死亡は乗組員の１人　８人搭乗（MBC南日本放送）,https://news.yahoo.co.jp/articles/59bac97c0f526aa294c9ab4873c14f58b52d4f58,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068704-mbcnewsv-000-4-view.jpg?exp=10800,2023-11-30T10:34:00+09:00,2023-11-30T10:37:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,400,\n鹿児島県の屋久島沖できのう２９日、８人が乗ったアメリカ軍のオスプレイが墜落しました。きのう２９日、現場海域で救助され死亡が確認された１人は乗組員だったと分かりました。\n\n\n第十管区海上保安本部によりますときのう２９日午後３時前、アメリカ軍の横田基地所属のオスプレイが、屋久島沖で墜落しました。\n\nアメリカ軍は当初８人としていた乗組員について６人に訂正していましたが、その後再び８人に訂正しました。\n\n防衛省によりますと救助され、その後死亡が確認された男性１人は、乗組員と判明しました。\n\n（救助に向かった漁師）「水柱の白いのが高く上がって、黒い煙上がった。油が浮いてすごいにおい。うつぶせにライフジャケットを着て浮いていた」\n\n付近の海では機体の残骸のようなものや、救命いかだのようなものが見つかっていて、海保や自衛隊が捜索にあたっています。\nMBC南日本放送 | 鹿児島
ＪＲ日豊本線で特急列車の車輪が空転　鹿児島～宮崎で遅れも（MBC南日本放送）,https://news.yahoo.co.jp/articles/31d82780c20c113cdc359b60550351098f8d28ff,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068703-mbcnewsv-000-1-view.jpg?exp=10800,2023-11-30T09:37:00+09:00,2023-11-30T09:37:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,160,\nＪＲ九州によりますと、３０日午前８時半ごろからＪＲ日豊本線の北俣駅と大隅大川原駅の間で特急列車の車輪が空転したため、列車に遅れが出ています。\n\n午前９時過ぎの時点で日豊本線の宮崎と鹿児島の間で最大４２分の遅れが出ているほか、鹿児島本線の鹿児島中央と鹿児島の間でも遅れが出ています。\nMBC南日本放送 | 鹿児島
屋久島沖墜落のオスプレイ「乗っていたのは８人」再び訂正　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/3613b248fe1e29a8a7564281ba98e7f0c2221439,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231130-00068702-mbcnewsv-000-2-view.jpg?exp=10800,2023-11-30T09:07:00+09:00,2023-11-30T09:08:00+09:00,MBC南日本放送,mbcnews,MBC南日本放送,253,\n２９日午後屋久島沖の海に墜落したアメリカ空軍のＣＶ－２２オスプレイについて、第十管区海上保安本部は、関係機関からの情報を受け、乗っていたのは８人だったと再訂正しました。\n\n乗組員は当初８人と発表されていましたが、その後６人に訂正されていました。\n\n今回のオスプレイの墜落事故では、現場付近の海域で乗組員とみられる迷彩服姿の１人が救助されましたが、死亡が確認されています。\n\n屋久島沖では海上保安部や自衛隊などが行方不明になっている乗組員の捜索を続けています。\nMBC南日本放送 | 鹿児島
